Sr_No,SeriousDlqin2yrs,RevolvingUtilization_pct,age,latepayments_Count2yrs,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents
132,0,1.15,77,0,0.001998002,1000,1,0,0
133,0,0.00,48,0,0.517468688,4550,7,2,0
134,0,16.30,81,0,0.086482558,2751,7,0,1
135,0,4.73,51,0,0.100920343,3150,5,0,0
136,0,8.39,53,0,0.199647533,7943,8,1,0
137,0,8.95,56,0,1.065901518,2700,11,1,2
138,0,77.35,63,0,1.129227053,4139,12,1,1
139,0,9.40,55,0,0.112051635,9450,6,2,0
140,0,21.96,54,0,0.315983758,5417,20,2,1
141,0,14.80,55,0,0.323088235,6799,5,1,0
142,0,57.65,72,0,3031,NA,11,1,0
143,0,24.39,53,0,0.534027778,8639,22,2,3
144,0,36.25,27,0,567,NA,4,0,0
145,0,11.67,31,0,0.343593791,3800,7,1,0
146,0,100.00,38,0,0.43369976,5821,7,1,4
147,0,49.69,40,0,0.452363811,12500,11,2,2
148,0,13.09,48,1,0.427882174,3937,17,1,0
149,0,54.70,50,0,0.748071979,3500,9,2,3
150,0,7.23,34,0,0.025911708,2083,2,0,0
151,0,0.00,48,2,0.370876375,3000,14,1,5
152,0,17.59,57,1,0.655812625,3500,9,1,1
153,0,5.08,30,0,0.315171207,4000,4,1,1
154,0,0.00,28,0,0.144616356,3166,7,0,0
155,0,21.29,36,0,0.563752087,9583,10,2,1
156,0,1.27,60,0,0.412979783,6825,20,2,0
157,0,12.16,58,0,0.342971419,12000,23,2,4
158,0,4.08,49,0,0.801999355,3100,11,1,0
159,0,14.77,40,0,0.034847816,6800,6,0,3
160,0,0.00,63,0,2,NA,4,0,NA
161,0,0.00,50,1,0.726566993,3477,5,1,1
162,0,7.08,38,0,2088,NA,6,1,0
163,1,104.63,47,1,1.104301274,5416,6,2,1
164,0,32.37,63,0,0.610841267,5146,9,2,2
165,0,36.46,42,0,0.593899089,6916,7,3,0
166,0,63.77,54,2,3.382196162,1875,9,2,0
167,0,8.14,63,0,1268,NA,8,1,0
168,0,2.10,29,0,639.5,1,3,1,2
169,0,17.01,36,0,0.138461538,7734,8,0,0
170,0,77.18,33,0,0.852429514,5000,7,3,0
171,0,5.54,72,0,0.089091313,4500,4,0,0
172,0,100.00,29,0,974,NA,2,0,0
173,0,16.65,53,0,0.543625949,7506,11,3,3
174,0,0.86,79,0,0.365151154,4200,9,1,0
175,0,13.53,58,0,0.342005076,9455,11,2,2
176,0,16.76,69,0,0.330733853,5000,10,1,1
177,0,100.00,69,0,0.005319149,2255,0,0,3
178,0,6.83,75,0,0.010927876,10065,9,0,0
179,0,0.00,41,0,0.907538526,2400,6,1,0
180,1,94.70,35,0,1593,NA,6,1,1
181,0,40.52,46,0,0.667835346,7700,22,2,1
182,0,5.55,65,0,2177,NA,6,1,1
183,0,67.62,55,0,0.436665827,3970,10,1,0
184,0,18.50,55,4,3144,NA,11,1,0
185,1,8.53,51,0,0.477503628,6200,11,1,0
186,1,0.00,25,0,0.152896812,2916,3,0,0
187,1,78.65,44,0,0.291709578,3883,7,0,1
188,0,1.12,86,0,13,NA,3,0,0
189,0,3.83,56,0,0.438912218,5000,7,2,0
190,0,71.50,55,0,0.47090194,15000,12,2,3
191,0,4.30,64,0,0.332016389,6833,14,2,0
192,0,109.51,53,5,0.536703799,3500,7,1,0
193,0,0.00,49,0,2932,NA,11,1,0
194,0,100.00,55,0,0.156259612,3250,5,0,4
195,0,10.14,80,1,0.016196761,5000,9,0,0
196,1,2.59,38,0,74.5,1,13,0,2
197,0,76.22,44,4,0.224465502,21000,5,1,3
198,0,23.17,40,0,0.119660709,3300,7,0,0
199,0,11.49,35,0,103,NA,6,0,0
200,0,3.55,69,0,0.308438695,3400,9,1,0
201,0,4.54,64,0,0.181311286,5200,4,1,0
202,0,31.20,61,0,0.269281443,9866,12,2,2
203,0,7.87,46,0,0.166215372,4800,6,1,4
204,0,13.76,49,0,0.429533892,7272,11,2,0
205,0,3.02,64,0,0.17386957,9000,8,1,0
206,0,2.20,40,0,0.443755624,10000,12,5,2
207,0,44.37,27,0,0.024340075,5833,4,0,0
208,0,0.75,60,0,1253,NA,8,1,1
209,0,4.66,92,1,0.034326669,2650,13,0,0
210,0,29.24,50,0,0.420180551,8750,8,2,0
211,0,20.81,64,0,2826,NA,14,2,0
212,0,100.00,66,1,0.358101135,1937,4,0,0
213,0,1.35,53,0,0.183464028,19000,8,1,2
214,0,100.00,62,0,0.04965839,6000,1,0,0
215,1,65.53,63,0,5223,NA,19,2,0
216,0,100.00,50,2,1208,NA,4,1,0
217,0,2.81,61,0,0.031349387,2200,12,0,0
218,0,22.27,42,0,800,1,3,1,2
219,0,59.40,63,0,0.332698534,5250,4,2,0
220,0,1.75,73,1,0.135589153,4166,12,1,0
221,0,61.19,72,0,0.04578345,7600,3,1,0
222,0,33.31,52,3,0.700153374,5215,15,2,0
223,0,0.90,45,0,0.376836435,8167,4,1,2
224,0,26.03,44,0,0.296854804,6962,11,1,0
225,0,45.60,63,1,0.701766078,6001,19,2,0
226,0,8.03,37,0,0.322446259,6000,7,1,0
227,1,195.35,38,0,0.153500141,3556,5,0,2
228,0,18.16,36,0,0.56071964,2000,7,1,1
229,0,14.71,41,0,0.436025621,6400,5,1,2
230,0,2.56,63,1,0.262773723,10000,8,1,0
231,0,0.00,76,0,0.002465931,7704,3,0,0
232,0,19.64,43,0,0.537485582,2600,10,1,0
233,0,8.39,64,0,0.588073078,2900,6,1,0
234,0,3.48,67,0,0.460246187,12916,9,2,0
235,0,78.75,52,0,0.353860086,4416,12,0,1
236,0,0.00,66,0,3730,NA,8,1,0
237,0,12.54,55,0,0.476704659,5000,3,2,0
238,0,6.04,42,0,0.578676723,5833,17,2,2
239,0,100.00,28,0,0,NA,0,0,NA
240,0,29.59,47,0,0.283765445,14000,6,2,1
241,1,97.33,61,1,0.209961825,5500,11,0,1
242,0,0.29,73,0,0.000285687,10500,10,0,0
243,0,87.76,58,0,2825,NA,10,2,0
244,0,100.00,68,0,0.040493251,6000,0,0,0
245,0,5.34,41,0,0.20364404,9000,3,1,0
246,0,73.27,44,2,0.14041952,9200,15,1,0
247,0,8.42,42,0,0.458551158,6694,26,2,4
248,0,11.46,40,0,0.359964004,10000,20,2,2
249,0,1.22,78,0,0.008886914,4500,12,0,0
250,0,8.13,81,0,0.165566887,3333,4,0,0
251,0,9.81,49,0,0.257017809,6625,9,2,0
252,1,104.82,58,7,0.151956584,3500,12,0,0
253,0,1.19,54,0,0.092913547,9750,8,1,2
254,0,75.26,33,1,0.058322869,7166,6,0,0
255,0,11.23,53,0,0.266909775,8500,9,1,5
256,0,0.00,23,0,0,1725,1,0,0
257,0,63.43,49,1,0.123125125,15000,7,0,1
258,0,15.58,44,0,0.278077082,4825,4,1,2
259,0,0.00,63,0,0.007988922,9387,9,0,0
260,0,9.06,42,0,86,NA,5,0,0
261,0,3.46,65,0,0.125189985,12500,4,1,1
262,0,2.74,54,0,1612,NA,6,1,0
263,0,41.24,28,0,0.037259615,4991,5,0,0
264,0,2.47,78,0,392,NA,6,1,NA
265,0,4.67,66,0,1.117952819,2500,12,1,0
266,0,97.65,32,0,0.264078812,6800,6,0,2
267,0,0.80,43,1,0.009691169,208333,11,1,1
268,0,26.75,59,0,0.637607437,5700,13,2,1
269,0,1.98,76,0,0.267149259,2900,9,0,0
270,0,1.04,68,0,0.094140517,3600,6,1,0
271,0,100.00,61,0,0.529548989,1285,3,1,0
272,0,2.98,68,0,0.175139978,4464,12,1,1
273,0,18.17,57,0,0.130453416,11666,17,1,1
274,0,5.14,68,0,0.445277361,4668,10,1,2
275,0,29.26,57,0,0.205927884,26484,11,2,3
276,1,22.08,46,1,0.637749121,1705,5,0,0
277,0,0.81,69,0,0.389895596,8332,3,1,0
278,0,0.00,44,0,0.326383681,6666,4,2,1
279,0,0.61,28,0,0.139429485,3750,8,0,0
280,0,90.95,53,1,0.595653913,7500,16,1,1
281,0,94.11,40,0,0.178184282,8855,9,1,0
282,0,99.17,36,1,0.554878049,5411,10,2,1
283,0,69.15,42,0,0.272721679,16250,11,1,1
284,0,11.29,64,0,0.307576329,2652,6,1,0
285,0,26.10,57,0,5439,NA,16,3,NA
286,0,4.82,62,0,0.262879153,16615,11,1,1
287,0,100.00,47,0,0.092163472,9493,2,0,0
288,0,100.00,62,0,0,5480,3,0,0
289,0,7.43,49,0,0.347930414,5000,11,2,3
290,0,14.49,66,0,0.28446242,8900,9,1,0
291,0,19.10,54,0,0.705627706,5081,10,2,2
292,0,21.94,56,1,942,NA,9,1,1
293,0,67.98,83,0,0.689589756,4216,6,2,0
294,0,234000.00,45,0,0.339332853,8333,7,2,2
295,0,37.19,29,0,0.53628857,2300,9,1,3
296,0,2.59,67,0,0.083799311,13054,13,1,0
297,0,54.79,29,1,0.24651504,2725,5,0,0
298,0,27.17,46,1,0.282830201,15800,14,2,4
299,0,8.52,25,0,1005,0,5,0,0
300,0,89.72,68,0,0.787803049,4000,8,2,0
301,0,25.89,33,0,0.537441339,4900,3,1,1
302,0,0.00,55,1,0.03988553,5590,8,0,0
303,0,3.59,46,0,0.271186441,6666,10,1,3
304,0,100.00,66,0,0.046633911,11600,2,0,1
305,0,46.52,66,0,0.391427671,3172,8,1,0
306,0,86.54,48,0,0.075848303,500,1,0,0
307,0,69.64,52,0,0.408871921,11000,11,1,4
308,0,54.45,32,1,0.166766647,6667,5,0,0
309,0,8.12,51,0,0.066830086,7750,14,0,2
310,0,94.88,27,0,0.144948404,4166,5,0,0
311,0,0.00,32,2,0.463610776,7460,10,1,0
312,0,1.66,30,0,0.136575616,1500,5,0,0
313,0,6.33,37,0,0.329935275,6179,6,1,3
314,0,9.36,49,0,0.042836573,8333,10,0,1
315,0,0.00,37,0,0.184027338,7900,5,1,5
316,0,73.03,36,1,0.632794037,5500,10,2,0
317,0,42.64,62,1,0.406053995,3666,15,1,0
318,0,94.90,57,0,0.043744532,8000,3,0,1
319,0,0.00,59,0,0,4200,7,0,1
320,0,100.26,38,2,0.472542946,3550,8,0,4
321,0,1.65,92,0,10,NA,3,0,0
322,0,4.26,58,0,3976,NA,13,3,0
323,0,2.29,37,0,0.288477299,6100,16,1,0
324,0,28.38,63,0,0.750200803,1244,9,0,0
325,0,31.98,32,0,1.247340213,12500,12,8,0
326,0,15.52,52,0,0.483518065,6946,15,2,1
327,0,1.31,43,0,4211,0,21,2,2
328,0,6.73,29,1,0.168340507,2090,3,0,0
329,0,28.42,45,1,0.318890815,7500,9,1,2
330,0,72.76,38,0,0.712458746,2423,6,1,1
331,0,68.78,62,0,0.249471161,7090,15,0,0
332,0,100.00,29,0,0,NA,0,0,0
333,0,3.37,41,0,0.408706353,6500,9,1,2
334,0,0.00,29,0,0.193935355,3000,7,0,0
335,1,3.72,47,0,0.03975841,25000,11,1,3
336,0,0.00,55,1,0.388320836,4400,4,2,1
337,0,5.36,87,0,0.001534331,5213,4,0,0
338,0,10.08,41,0,0.199761673,9230,7,1,0
339,0,0.00,61,0,1.394967177,913,11,2,0
340,0,39.99,28,0,0.189702574,4000,6,0,1
341,0,5.27,43,0,0.572292191,1984,9,0,4
342,0,7.23,71,0,0.426412462,4300,8,2,1
343,0,20.40,46,0,0.072914726,16100,6,1,2
344,0,100.00,30,0,0.090341011,5600,1,0,0
345,1,88.04,43,0,0.461323764,7523,6,1,1
346,0,42.92,59,0,0.381254316,15928,17,1,1
347,0,0.00,47,0,773,NA,2,1,1
348,0,4.95,61,0,542,NA,15,0,0
349,0,36.09,72,0,0.356679286,3697,6,1,0
350,0,33.57,50,0,0.45722203,5773,9,1,1
351,1,63.57,68,1,0.218071277,25000,27,3,0
352,0,0.00,58,0,8380,NA,20,5,0
353,0,50.80,69,2,0.193935355,3000,10,0,0
354,0,24.58,71,0,151,NA,5,0,0
355,1,95.33,48,2,2073,NA,5,2,0
356,0,100.00,37,0,0.184625639,4500,2,0,1
357,0,11.89,50,0,2720,NA,7,1,2
358,0,63.01,38,0,0.563328034,1886,3,1,0
359,0,100.00,35,0,3388,NA,1,1,0
360,0,2.84,59,0,0.033982276,14330,12,1,0
361,0,14.34,67,0,0.119463561,5666,9,0,0
362,0,18.67,30,0,0.698120752,2500,7,2,2
363,0,49.64,56,0,0.170164956,19580,12,1,1
364,0,45.75,51,0,0.333583302,8000,16,2,2
365,0,72.82,40,1,3878,NA,10,2,0
366,0,94.73,28,0,0.467171717,1187,4,0,0
367,0,1.39,54,0,0.017655818,4700,7,0,2
368,0,6.63,46,1,4480,NA,6,2,0
369,0,50.30,57,0,6381,NA,5,2,0
370,0,104.75,35,2,0.314566116,3871,8,2,3
371,0,1.26,79,0,0.009596162,2500,11,0,0
372,0,54.34,46,0,0.267146571,5000,6,2,3
373,0,2.66,79,0,1063,NA,7,1,0
374,0,8.23,64,0,0.214426305,8636,29,1,1
375,0,29.25,74,0,0.164917541,2000,3,0,0
376,0,2.42,64,0,0.101514142,10500,20,1,0
377,0,4.77,63,0,0.387956894,9000,6,2,0
378,1,73.91,63,1,0.285156885,6150,12,0,1
379,0,18.69,54,0,0.655589124,3640,7,1,1
380,0,0.75,63,0,0.278226307,8050,13,2,3
381,0,52.23,45,0,0.290229092,14491,13,1,3
382,0,100.00,22,0,130,NA,0,0,NA
383,0,57.16,66,0,870,NA,12,0,NA
384,0,90.32,57,0,0.13080895,5228,10,0,0
385,0,1.70,43,0,0.10821382,2300,6,0,1
386,0,6.07,61,0,0.008549573,20000,8,0,0
387,0,0.06,54,0,2028,NA,13,1,1
388,0,0.39,90,0,876,NA,11,1,0
389,0,25.00,60,0,2.086478612,7550,26,0,0
390,0,46.63,34,2,0.007495315,3201,3,0,0
391,0,11.46,38,0,34,NA,2,0,0
392,0,100.00,60,0,0,4200,0,0,0
393,0,26.79,76,0,0.285452994,8200,12,0,0
394,0,2.97,76,0,0.070513488,9600,7,0,2
395,0,30.52,39,0,0.188281635,10154,6,1,2
396,0,0.07,83,0,0,NA,4,0,0
397,0,70.25,63,0,0.582162622,4697,8,2,1
398,0,74.24,52,0,0.414081023,9700,10,2,0
399,1,80.24,58,1,668,NA,5,0,0
400,0,100.00,42,1,0.113421853,6250,3,0,2
401,0,13.42,63,0,926.5,1,9,1,0
402,0,0.26,58,0,0.115826132,7752,17,0,2
403,0,8.88,62,0,0.073772011,5394,5,0,0
404,0,20.39,46,1,1.206516118,5800,12,4,2
405,0,0.67,27,0,0.000268637,7444,5,0,0
406,0,1.40,27,0,0.352214765,3724,4,1,1
407,0,100.00,35,1,0.092985318,3064,1,0,3
408,0,36.89,55,0,0.437996083,9700,18,2,0
409,0,5.46,73,0,0.043259135,16666,13,0,0
410,0,17.95,51,0,0.492529978,10173,19,4,0
411,0,2.69,36,0,0.344879921,11200,6,2,2
412,0,26.57,56,0,0.259102536,31666,8,3,1
413,0,0.00,59,0,2113,NA,13,2,NA
414,0,1.18,49,0,1599,NA,12,1,0
415,0,7.08,64,0,0.255290785,6000,6,0,1
416,0,3.10,56,0,0.131430952,4800,11,1,0
417,0,14.49,37,0,0.045366363,6700,5,0,0
418,0,35.30,48,0,1.299736021,4166,17,1,1
419,0,2.01,36,0,0.334245422,4750,5,1,0
420,0,3.28,70,0,724,NA,11,1,0
421,1,73.39,49,2,0.369223765,8785,20,2,2
422,0,6.35,57,0,2221.5,1,12,2,0
423,0,3.16,39,0,0.644706486,3900,14,1,1
424,1,99.15,61,10,1.2979007,3000,11,3,1
425,0,39.77,38,0,0.41627543,5750,6,1,2
426,0,97.14,24,0,0.035803497,1200,3,0,0
427,0,100.00,33,0,1786,NA,3,1,0
428,0,0.00,73,0,0.386728192,4550,18,0,0
429,0,100.00,79,0,0.130140954,5178,6,1,0
430,0,0.39,81,0,0.000822143,3648,1,0,1
431,0,1.09,55,0,0.725137431,2000,7,2,0
432,0,68.61,57,0,0.16069592,11667,6,1,2
433,0,21.25,58,0,0.518991188,3290,10,1,1
434,0,0.70,52,0,0.003278689,2439,4,0,0
435,0,7.33,51,0,0.446688128,10250,9,1,2
436,0,43.19,63,0,0.41905226,8208,22,2,0
437,0,0.70,97,0,3,NA,2,0,NA
438,0,1.43,56,0,13,NA,2,0,0
439,0,2.69,41,0,0.686736475,4583,8,3,0
440,0,29.71,43,1,0.603763294,3666,9,1,2
441,0,31.61,56,0,1348,NA,3,1,0
442,0,0.00,59,0,862,NA,2,1,0
443,0,92.27,40,0,0.207789429,9345,7,0,0
444,0,5.11,74,0,0.306409131,3416,9,1,0
445,0,31.92,49,0,0.358153388,9400,18,2,0
446,0,0.87,68,0,0.209965006,6000,28,1,0
447,0,0.00,57,0,0.785229953,6783,8,3,0
448,0,24.37,48,0,0.179979778,8900,10,1,6
449,0,100.00,40,1,0.19170579,3833,3,0,2
450,0,0.00,23,0,0,3500,1,0,1
451,0,2.89,52,0,0.013543599,5389,7,0,2
452,0,3.42,48,0,2045,NA,3,1,0
453,0,50.33,55,0,0.454057468,3166,5,2,0
454,0,80.00,61,3,0.671076012,5064,19,3,0
455,0,7.00,33,0,0.114004783,3762,7,0,0
456,0,6.79,69,0,0.065493451,10000,5,1,0
457,0,74.06,39,0,0.432010059,5566,7,1,0
458,0,2.34,84,0,0.00912845,4600,6,0,0
459,0,100.00,32,2,0.095584668,2060,1,0,0
460,0,0.36,78,0,726,NA,8,1,NA
461,0,9.23,61,0,0.229436075,7500,23,2,2
462,0,0.00,37,0,0.177007047,7236,5,1,3
463,0,100.00,33,1,0.257707218,5416,2,1,1
464,0,5.79,81,0,0.145685279,3939,13,0,0
465,0,7.81,60,0,0.566105156,3917,14,1,2
466,0,20.19,46,0,0.394460554,10000,15,2,3
467,0,7.80,57,0,0.053530226,6500,19,0,0
468,0,20.57,57,0,0.130309575,8333,8,1,0
469,1,100.00,32,0,0.006731051,3416,1,0,3
470,1,57.99,42,0,0.594224361,2700,8,0,0
471,0,7.34,38,1,0.384761524,10000,9,2,0
472,0,7.92,82,0,0.176964607,5000,3,1,0
473,0,7.31,33,0,0.216405216,5290,9,0,0
474,0,74.52,68,0,0.168767792,4917,4,1,0
475,0,10.09,52,1,0.280494456,5500,6,1,2
476,0,34.77,46,0,0.041583367,2500,1,0,1
477,0,10.20,66,0,90,NA,4,0,0
478,0,35.41,57,0,0.558762411,4330,4,1,0
479,0,2.96,50,0,0.399106478,9400,15,4,0
480,0,54.02,34,0,0.034395414,7500,3,0,0
481,0,64.09,53,4,0.52409692,11266,17,2,3
482,0,5.83,76,0,0.374304267,4311,7,1,0
483,0,71.93,64,0,0.186225718,6228,5,1,0
484,0,4.50,72,0,0.020763907,3900,8,0,0
485,0,35.59,48,0,0.478090767,7667,17,2,0
486,0,57.76,71,1,0.4925,6399,14,2,1
487,0,1.51,59,0,929,NA,11,1,2
488,0,32.06,53,0,1.114622389,5600,14,1,1
489,0,4.76,34,0,997,NA,4,0,NA
490,0,17.34,51,1,0.086269282,5250,11,0,0
491,0,40.18,55,0,0.412779302,2550,11,0,0
492,0,30.12,46,0,0.254661625,7668,10,1,3
493,0,0.00,27,2,0.229139073,2264,5,0,0
494,0,6.75,43,0,0.44723563,9115,4,2,0
495,0,0.00,75,0,0.205971968,1640,4,0,1
496,0,99.33,31,0,0.068227425,4484,6,0,1
497,0,13.88,43,0,0.384074741,11666,9,5,0
498,0,19.36,51,0,0.532754538,3800,13,2,0
499,0,0.11,28,1,0.057990335,6000,8,0,0
500,0,48.56,51,0,0.09963548,6583,5,0,0
501,0,97.95,55,1,0.467850417,7433,11,2,0
502,0,9.06,69,0,0.016683267,4015,2,0,0
503,0,38.48,42,0,0.533099636,7416,5,1,3
504,0,18.37,33,0,0.660528423,2497,9,1,0
505,0,1.81,60,0,0.023181455,1250,4,0,1
506,1,100.00,54,0,0.228402866,2372,2,0,0
507,0,29.03,48,0,0.262848568,7996,7,1,3
508,0,5.22,49,0,0.067629397,6993,5,0,1
509,0,100.00,73,0,8500,0,2,0,0
510,0,100.00,91,0,0,NA,3,0,NA
511,0,41.27,66,1,0.195074372,4100,7,0,0
512,0,9.12,49,1,0.568886223,5000,15,2,0
513,0,50.02,46,0,0.278025952,4700,10,1,1
514,1,91.31,37,2,1.620344914,4000,16,3,1
515,0,5.64,54,0,2126,NA,8,1,0
516,0,61.14,22,0,0.347066167,800,4,0,0
517,0,6.56,31,0,0.162635688,5250,10,0,0
518,0,49.97,39,0,0.450171821,3200,8,1,0
519,0,100.00,56,0,7,NA,1,0,0
520,0,28.95,44,0,0.4825614,8916,17,2,1
521,1,81.42,50,1,0.297139683,3600,8,1,1
522,0,1.64,55,0,0.001785714,5599,3,0,2
523,0,7.85,52,0,0.207274054,8220,5,1,3
